Component RT,Base Peak MZ,Component Area,Compound Name,Match Factor,File Name
3.93804701898058,59,5446.65790509626,Monomethyl oxalate,79.9363572308857,T6-1.D
3.99851198067484,83,11482.2519811536,"Furan, 2-methoxy-",78.2742693622986,T4-6.D
4.00841972226967,83.09,16277.5197272408,"Furan, 2-methoxy-",80.9760297188197,T6-4.D
4.01732776958775,83.09,15756.7992569833,"Furan, 2-methoxy-",80.4020180770589,T2-9.D
4.02044448826795,83.09,16235.7887543157,"Furan, 2-methoxy-",82.5106494883219,T3-4.D
4.0227057652418,83.09,20207.8279991059,"Furan, 2-methoxy-",84.3172991827301,T4-8.D
4.02371926804001,83.09,25460.0686131732,"Furan, 2-methoxy-",82.2208098867164,T2-10.D
4.024907926134,83.09,44618.0889235011,"Furan, 2-methoxy-",76.4268466777756,T5-5.D
4.0260943937238,84.08,25854.6542890567,Methylene chloride,83.2126892864143,T4-9.D
4.02677714801127,83.09,27771.5612805284,"Furan, 2-methoxy-",78.2304992290936,T4-1.D
4.03258586736758,83,33796.9524711733,"Furan, 2-methoxy-",76.2181866090112,T6-6.D
4.05834415046356,84,10402.7388955124,Methylene chloride,84.5763816304949,T6-3.D
4.1135153007716,42,6561.32953424011,3-Amino-5-pyrazolol,75.3146370929118,T2-3.D
4.11449830369561,57.08,15593.0145878379,Azetidine,76.1088318914667,T6-3.D
4.12686783066367,57.08,30689.4867971072,"2,2-Dimethylpropanoic anhydride",83.738416193257,T4-6.D
4.12802217437492,57,36816.5162349047,"Pentanoic acid, 3-methyl-2-oxo-, methyl ester",82.8818867649919,T4-6.D
4.13636696331763,57,24309.7379473393,Valeric anhydride,82.9608157322042,T6-4.D
4.13886575818778,57.08,37704.9509426087,"2,2-Dimethyl-3-heptanone",86.4110645097664,T2-8.D
4.14774192680367,43.09,14663.205453234,2-Acetyl-2-methyltetrahydrofuran,77.746601271612,T1-10.D
4.14826883006075,57,37679.5536319623,"2,2-Dimethyl-3-heptanone",84.3758681931391,T4-8.D
4.14828622988807,57,84444.3355825464,"Heptane, 3-methyl-",85.78287969607,T1-2.D
4.14890274548428,85,16645.6414503031,"5-Oxotetrahydrofuran-2-carboxylic acid, ethyl ester",75.859988241098,T1-4.D
4.14892403762449,43,32569.8851337114,"Pentane, 2,2-dimethyl-",88.4083983914475,T6-3.D
4.14942333734412,59,32415.6057428349,"Propane, 2-ethoxy-2-methyl-",81.4125030177504,T5-1.D
4.15135444385887,57.08,25441.1175965605,"Formic acid, 1,1-dimethylethyl ester",84.3382887507723,T1-2.D
4.15256056229726,59,20880.2134413414,"Propane, 2-ethoxy-2-methyl-",75.8658072141532,T6-3.D
4.15363763780471,85,12750.2511164948,Silicon tetrafluoride,75.4790452107586,T5-3.D
4.15510957446248,57.08,43752.0075327273,"Pentanoic acid, 3-methyl-2-oxo-, methyl ester",82.4171868716878,T6-8.D
4.15571228530014,57.08,34840.058204182,"2,2-Dimethylpropanoic anhydride",81.4654299444884,T2-6.D
4.15650258701128,43,35607.0911937778,Acetyl valeryl,89.2783626087771,T6-6.D
4.20989663875269,43.05,17832.2902667903,Guanidine,77.6500025659439,T5-6.D
4.23604751977209,80,9931.16665238732,Pyrazine,95.0250020981049,T3-1.D
4.2374744000949,80.06,9262.6051616382,Pyrazine,94.8580466614461,T6-5.D
4.23862210786017,80.05,11646.1932893469,Pyrazine,92.4684809912219,T1-1.D
4.23901999901906,80,9335.35488168394,Pyrazine,82.3717098197481,T5-1.D
4.23929716082169,80.05,18530.1155225357,Pyrazine,80.7450785685772,T5-3.D
4.23977933482426,80.05,7279.29546466532,Pyrazine,94.9916532278754,T1-8.D
4.24068586608877,80,9988.45385973077,Pyrazine,85.5261681955959,T1-4.D
4.24097150129964,80.04,10342.4593585122,Pyrazine,95.6167772610212,T4-3.D
4.24133780031755,80.05,12021.0974017717,Pyrazine,93.9385644104216,T5-10.D
4.24176226394408,80,14393.4718911519,Pyrazine,89.0961356545683,T3-6.D
4.24341859348876,80,9745.69871383018,Pyrazine,96.2775653335947,T4-10.D
4.34715627419209,43.06,17126.2834615573,Acetylacetone,81.5891171217326,T4-6.D
4.3504076940421,43,23550.7855277624,Acetylacetone,77.3860911218867,T6-4.D
4.35164441201816,43,26104.0493350927,Acetylacetone,78.148778836963,T1-6.D
4.35286445306175,43.07,25927.3485541599,Acetone,76.7558251011826,T2-9.D
4.35424616740022,43.05,45740.5583140061,Acetylacetone,81.9854286241802,T3-4.D
4.35425998038184,43,24377.6277872683,Methyl Isobutyl Ketone,83.5419543527323,T5-6.D
4.35426586261429,43,39687.4059501986,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",80.0498735306359,T4-8.D
4.35458346857178,43,23301.9540245198,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",78.1854813585447,T2-8.D
4.35484397878706,43,26631.8908480205,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",76.5951202121709,T1-3.D
4.3551689319105,43.05,31367.4879491334,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",78.5593396191663,T3-1.D
4.35561931181157,43.05,31190.6105953332,Acetylacetone,78.7314377020176,T2-4.D
4.35598649437552,43.07,26252.7919306989,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",78.4112428190294,T1-2.D
4.35619884998208,45,98786.0168637492,"2-Pentanol, 3-chloro-4-methyl-, (R*,S*)-(.+/-.)-",75.735065389445,T6-2.D
4.35626664318926,43.05,39306.7193839862,Methyl Isobutyl Ketone,84.6389580591172,T6-3.D
4.35627914206464,43,35609.62969444,Acetylacetone,79.5365397310479,T2-7.D
4.35628749691834,43,30114.0391590015,Acetylacetone,78.8953640528605,T5-7.D
4.35646919650304,43.05,20746.196481812,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",78.7334698985125,T5-1.D
4.35698229617853,43,39955.5658683505,Methyl Isobutyl Ketone,86.0900660274258,T5-5.D
4.35711078361324,43,28104.2654295663,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",78.7644608811241,T1-5.D
4.35759799937971,43,25426.3176311408,Methyl Isobutyl Ketone,82.6391597641928,T6-2.D
4.35769450332447,43,30519.1057682393,Acetylacetone,80.387477690978,T3-7.D
4.35771359412401,43.07,53871.8219844271,Methyl Isobutyl Ketone,84.2129205681987,T4-3.D
4.35792487744481,43,38230.8296397067,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",75.2241144390688,T2-10.D
4.35802554197343,43,28815.1330306063,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",77.7824808327883,T3-5.D
4.35803873920294,43,33346.8456766214,Acetylacetone,77.3683604288841,T1-8.D
4.35827894144156,43,24012.5771708913,"1-Propene, 2-(1-methylethoxy)",81.7672272609776,T1-4.D
4.35831388997875,43,35127.1334623904,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",78.5639308050518,T4-1.D
4.35868819388749,43,28380.5886336555,Acetylacetone,77.9748310908322,T3-9.D
4.35871303613825,43.06,38399.3557409517,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",77.5897766689875,T6-8.D
4.35876348904979,43.06,28495.6343883772,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",77.1030487396238,T2-1.D
4.35876386097108,43,30638.7953465025,Acetylacetone,79.9616211430935,T2-1.D
4.35883674410456,43.07,31570.1129421494,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",78.9565563583182,T4-5.D
4.35889681898247,43.08,39732.8645112761,Methyl Isobutyl Ketone,82.7509048979379,T2-6.D
4.3592292819429,43.07,25879.0450512575,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",79.5912166463669,T5-10.D
4.35925506091099,43,33262.9366477122,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",79.3309555014222,T2-5.D
4.35982999465092,43.06,27331.3725691234,"Acetic acid, 1-methyl-3-oxo-but-1-enyl ester",75.1958315896265,T4-2.D
4.36012297614514,43.07,46289.6017317625,Acetylacetone,76.9069225194499,T2-2.D
4.36047113854033,43.05,43337.4555767078,Methyl Isobutyl Ketone,85.0978620026308,T6-7.D
4.36149462285853,43,28017.4737560693,Acetylacetone,79.1933920500043,T6-6.D
4.36417026848201,72.99,7763.06761333271,"Methane, isothiocyanato-",76.5036045513378,T2-1.D
4.37813568271643,43,42004.3342945001,"Pentane, 3-ethyl-",79.8365516930985,T4-9.D
4.3897056044664,43,61597.1431460936,"Pentane, 3-ethyl-",75.1815004988178,T5-8.D
4.39015670030337,43.06,65264.7029646663,"Pentane, 3-ethyl-",93.6060833716188,T4-6.D
4.3943133558634,94.06,5094.58708323256,Dimethyl sulfone,80.8898973202198,T4-5.D
4.39444604260008,94,5317.00593569578,"Disulfide, dimethyl",80.0715788654813,T4-1.D
4.39468659517243,94,7904.75482464127,Dimethyl sulfone,75.3677029519237,T4-2.D
4.39493514776375,94.07,5400.89198509635,Dimethyl sulfone,79.0728573813183,T3-6.D
4.39720346872386,94.07,3436.77150992392,Dimethyl sulfone,82.1382030444433,T5-7.D
4.39901991717187,71,46613.1774481435,"Pentane, 3-ethyl-",89.6898114709543,T6-4.D
4.39932923071732,94.06,7476.50207653924,Dimethyl sulfone,78.656437760031,T2-2.D
4.40038701046843,94.07,3356.82699915073,Dimethyl sulfone,75.0080901948923,T6-10.D
4.4004520840672,43,53827.0990360662,Pyrrolidine,82.403713083571,T1-9.D
4.40236643671341,43,58306.6073639686,"2,2'-Bifuran, octahydro-",85.8620347560785,T1-6.D
4.402533988764,43.07,58478.4858141441,"Pentane, 3-ethyl-",88.4006954346582,T2-8.D
4.40463719453867,71,52330.2817855563,Pyrrolidine,82.8922092847307,T6-1.D
4.4047206586101,71.09,105273.833837049,"Borinic acid, diethyl-, methyl ester",76.089237649748,T6-1.D
4.40576770045021,43.07,53891.2155497067,"Pentane, 3-ethyl-",93.321790543239,T2-9.D
4.40745396203265,71,45450.1531951312,"2,2'-Bifuran, octahydro-",79.1642537713606,T5-4.D
4.40811352790057,43,47285.1438245136,Pyrrolidine,84.9275722502005,T2-7.D
4.40833080079808,43,68068.4144520133,"Pentane, 3-ethyl-",93.5473854119928,T2-4.D
4.4084124091337,43,56270.6211660307,"Pentane, 3-ethyl-",77.7650771755713,T6-5.D
4.40869925458094,43.07,82743.7741153913,"Pentane, 3-ethyl-",79.5346558301533,T5-9.D
4.40873231544309,43,62133.9188024392,Pyrrolidine,82.954710214544,T5-9.D
4.40893742141613,71,48667.1720257449,"2,2'-Bifuran, octahydro-",89.0395226077833,T3-4.D
4.40927181473096,71.1,53434.2703564671,"2,2'-Bifuran, octahydro-",79.2948659010269,T3-10.D
4.40942764481797,43.05,65959.0600525064,Pyrrolidine,89.3132037691916,T3-1.D
4.40981434127256,43.05,74150.5021591913,"Pentane, 3-ethyl-",92.6877946014126,T4-8.D
