Line,Timestamp,Filename,Treatment,Replicate,Analyte,RT,PeakArea,NonylAcetate,TIC,NA_Added,Quantity
1293,4/8/2021 13:26,AID.D,AID,1,(E)-beta-ocimene,9.58,49647,4983526,5.294651542,200,0.704
1021,4/8/2021 13:26,AID.D,AID,1,(Z)-3-hexenyl acetate,8.88,661713,4983526,3.984787204,200,7.065
2721,4/8/2021 13:26,AID.D,AID,1,1-dodecanol,15.69,163023,4983526,15.47239577,200,6.758
2789,4/8/2021 13:26,AID.D,AID,1,"2,6-di-tert-butyl-1,4-benzoquinone",15.73,89991,4983526,8.635928571,200,2.082
273,4/8/2021 13:26,AID.D,AID,1,2-heptanone,6.88,220333,4983526,3.192339999,200,1.885
205,4/8/2021 13:26,AID.D,AID,1,3-heptanone,6.81,596390,4983526,2.37080924,200,3.788
545,4/8/2021 13:26,AID.D,AID,1,alpha-pinene,7.66,1613152,4983526,4.024764937,200,17.396
749,4/8/2021 13:26,AID.D,AID,1,benzaldehyde,8.14,1551624,4983526,2.597346396,200,10.798
885,4/8/2021 13:26,AID.D,AID,1,beta-pinene,8.43,808823,4983526,3.93557867,200,8.529
613,4/8/2021 13:26,AID.D,AID,1,camphene,7.94,294508,4983526,5.212068429,200,4.113
1565,4/8/2021 13:26,AID.D,AID,1,camphor,11.25,45378,4983526,5.789524239,200,0.704
477,4/8/2021 13:26,AID.D,AID,1,cumene,7.5,229367,4983526,2.289488255,200,1.407
1089,4/8/2021 13:26,AID.D,AID,1,delta-3-carene,8.99,178596,4983526,4.080706382,200,1.953
681,4/8/2021 13:26,AID.D,AID,1,"hexanal, 2-ethyl-",8,1049840,4983526,4.041975892,200,11.37
1225,4/8/2021 13:26,AID.D,AID,1,limonene,9.3,554703,4983526,8.150954255,200,12.114
1429,4/8/2021 13:26,AID.D,AID,1,linalool,10.42,55613,4983526,8.983776528,200,1.339
1701,4/8/2021 13:26,AID.D,AID,1,methyl salicylate,12,7646,4983526,3.27745436,200,0.067
1633,4/8/2021 13:26,AID.D,AID,1,napthalene,11.85,586818,4983526,1.87984147,200,2.956
1769,4/8/2021 13:26,AID.D,AID,1,n-decanal,12.04,95535,4983526,10.67217566,200,2.732
341,4/8/2021 13:26,AID.D,AID,1,n-heptanal,7.07,204759,4983526,7.753393531,200,4.254
69,4/8/2021 13:26,AID.D,AID,1,n-hexanal,5.29,874531,4983526,4.524512422,200,10.602
1497,4/8/2021 13:26,AID.D,AID,1,n-nonanal,10.48,818943,4983526,8.477547446,200,18.602
953,4/8/2021 13:26,AID.D,AID,1,n-octanal,8.83,168253,4983526,14.09759369,200,6.355
1,4/8/2021 13:26,AID.D,AID,1,n-octane,5.24,2592040,4983526,5.50135318,200,38.207
1837,4/8/2021 13:26,AID.D,AID,1,nonyl acetate,13.5,4983526,4983526,14.97824611,200,200
2993,4/8/2021 13:26,AID.D,AID,1,n-tridecan-1-ol,16.94,34098,4983526,10.38602801,200,0.949
1157,4/8/2021 13:26,AID.D,AID,1,p-cymene ,9.23,328458,4983526,2.440449642,200,2.148
137,4/8/2021 13:26,AID.D,AID,1,pentanone<4-hydroxy-4-methyl-2->,6.02,4479198,4983526,4.380727173,200,52.575
1361,4/8/2021 13:26,AID.D,AID,1,RI 1101.4,10.42,55406,4983526,3.035613552,200,0.451
1905,4/8/2021 13:26,AID.D,AID,1,RI 1350.0,14.03,125491,4983526,8.782698462,200,2.953
1973,4/8/2021 13:26,AID.D,AID,1,RI 1384.8,14.5,11959,4983526,11.49152542,200,0.368
2041,4/8/2021 13:26,AID.D,AID,1,RI 1391.0,14.59,27092,4983526,15.1109773,200,1.097
2109,4/8/2021 13:26,AID.D,AID,1,RI 1409.4,14.83,18236,4983526,6.362679426,200,0.311
2177,4/8/2021 13:26,AID.D,AID,1,RI 1423.4,15.02,7903,4983526,17.32354703,200,0.367
2245,4/8/2021 13:26,AID.D,AID,1,RI 1427.9,15.06,16455,4983526,12.19555849,200,0.538
2313,4/8/2021 13:26,AID.D,AID,1,RI 1433.6,15.13,17110,4983526,7.994166667,200,0.366
2381,4/8/2021 13:26,AID.D,AID,1,RI 1434.6,0,0,4983526,8.765701808,200,0
2449,4/8/2021 13:26,AID.D,AID,1,RI 1439.0,15.2,4645,4983526,5.815867925,200,0.072
2517,4/8/2021 13:26,AID.D,AID,1,RI 1447.4,15.31,33007,4983526,14.09469775,200,1.247
2585,4/8/2021 13:26,AID.D,AID,1,RI 1452.8,15.38,20450,4983526,14.34619794,200,0.786
2653,4/8/2021 13:26,AID.D,AID,1,RI 1473.2,0,0,4983526,8.702692308,200,0
2857,4/8/2021 13:26,AID.D,AID,1,RI 1491.9,15.88,12477,4983526,7.972417017,200,0.267
2925,4/8/2021 13:26,AID.D,AID,1,RI 1515.5,16.16,11943,4983526,3.250375825,200,0.104
409,4/8/2021 13:26,AID.D,AID,1,RI 926.2,7.45,88078,4983526,2.442103908,200,0.576
817,4/8/2021 13:26,AID.D,AID,1,sabinene,8.36,41952,4983526,3.300065277,200,0.371
3061,4/8/2021 13:26,AID.D,AID,1,tetradecanal,17.36,11247,4983526,12.04965676,200,0.363
1294,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,(E)-beta-ocimene,0,0,,5.294651542,0,#DIV/0!
1022,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,(Z)-3-hexenyl acetate,0,0,,3.984787204,0,#DIV/0!
2722,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,1-dodecanol,0,0,,15.47239577,0,#DIV/0!
2790,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,"2,6-di-tert-butyl-1,4-benzoquinone",0,0,,8.635928571,0,#DIV/0!
274,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,2-heptanone,0,0,,3.192339999,0,#DIV/0!
206,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,3-heptanone,0,0,,2.37080924,0,#DIV/0!
546,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,alpha-pinene,7.65,64653,,4.024764937,0,#DIV/0!
750,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,benzaldehyde,8.13,16851,,2.597346396,0,#DIV/0!
886,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,beta-pinene,0,0,,3.93557867,0,#DIV/0!
614,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,camphene,0,0,,5.212068429,0,#DIV/0!
1566,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,camphor,0,0,,5.789524239,0,#DIV/0!
478,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,cumene,0,0,,2.289488255,0,#DIV/0!
1090,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,delta-3-carene,8.98,46288,,4.080706382,0,#DIV/0!
682,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,"hexanal, 2-ethyl-",0,0,,4.041975892,0,#DIV/0!
1226,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,limonene,0,0,,8.150954255,0,#DIV/0!
1430,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,linalool,0,0,,8.983776528,0,#DIV/0!
1702,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,methyl salicylate,11.96,680388,,3.27745436,0,#DIV/0!
1634,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,napthalene,0,0,,1.87984147,0,#DIV/0!
1770,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,n-decanal,0,0,,10.67217566,0,#DIV/0!
342,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,n-heptanal,0,0,,7.753393531,0,#DIV/0!
70,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,n-hexanal,0,0,,4.524512422,0,#DIV/0!
1498,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,n-nonanal,0,0,,8.477547446,0,#DIV/0!
954,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,n-octanal,0,0,,14.09759369,0,#DIV/0!
2,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,n-octane,5.21,16358214,,5.50135318,0,#DIV/0!
1838,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,nonyl acetate,0,0,,14.97824611,0,#DIV/0!
2994,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,n-tridecan-1-ol,0,0,,10.38602801,0,#DIV/0!
1158,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,p-cymene ,0,0,,2.440449642,0,#DIV/0!
138,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,pentanone<4-hydroxy-4-methyl-2->,6.04,32896,,4.380727173,0,#DIV/0!
1362,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1101.4,0,0,,3.035613552,0,#DIV/0!
1906,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1350.0,0,0,,8.782698462,0,#DIV/0!
1974,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1384.8,0,0,,11.49152542,0,#DIV/0!
2042,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1391.0,0,0,,15.1109773,0,#DIV/0!
2110,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1409.4,0,0,,6.362679426,0,#DIV/0!
2178,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1423.4,0,0,,17.32354703,0,#DIV/0!
2246,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1427.9,0,0,,12.19555849,0,#DIV/0!
2314,2/9/2021 14:25,Alkanes C7-30 10ng in hex 2-9-21 Original Method.D,,,RI 1433.6,0,0,,7.994166667,0,#DIV/0!
