"","Compound","Mass","RT","Best Match","T6-1.D","T4-6.D","T6-4.D","T2-9.D","T3-4.D","T4-8.D","T2-10.D","T5-5.D","T4-9.D","T4-1.D","T6-6.D","T6-3.D","T2-3.D","T2-8.D","T1-10.D","T1-2.D","T1-4.D","T5-1.D","T5-3.D","T6-8.D","T2-6.D","T5-6.D","T3-1.D","T6-5.D","T1-1.D","T1-8.D","T4-3.D","T5-10.D","T3-6.D","T4-10.D","T1-6.D","T1-3.D","T2-4.D","T6-2.D","T2-7.D","T5-7.D","T1-5.D","T3-7.D","T3-5.D","T3-9.D","T2-1.D","T4-5.D","T2-5.D","T4-2.D","T2-2.D","T6-7.D","T5-8.D","T6-10.D","T1-9.D","T5-4.D","T5-9.D","T3-10.D","T3-8.D","T6-9.D","T4-4.D","T3-3.D","T1-7.D","T4-7.D","T3-2.D","T5-2.D"
"1","n-hexanal","100.088815002","5.28362913768218","93.0439350879084","0","0","0","0","846883.358969911","643254.886912881","0","361273.012254318","337326.867585604","454696.932916713","0","0","415090.016336098","440174.87091686","0","0","0","0","577008.355644079","390769.899809606","295348.936856702","0","397333.575791443","0","555214.243258393","814231.682012834","523976.11743531","347871.456408577","0","0","457767.753868551","0","337540.821861142","246667.418388502","403936.535006593","465156.107067909","415282.533719178","747308.587155533","311744.131290361","332121.841553675","287804.561627977","0","765172.678709428","254298.395031023","903688.976327089","655076.434267954","0","0","0","0","672320.268099213","0","0","0","0","0","0","470897.930128396","347077.267400227","0"
"2","benzaldehyde","106.041864811","8.14063464562925","98.1075048148067","494795.685373794","127642.267335937","201760.672494317","356668.137081559","522081.679578134","183072.049582378","397415.708661316","204098.67939048","232702.018364827","342950.408742546","239344.082400243","122989.372060442","457554.956942998","329614.015244611","27797.7515314445","211868.966032433","507192.542050258","416146.630531605","506412.437981141","192190.317113665","148884.212647725","194193.159765181","304018.95055605","585351.642945687","612543.906913764","751097.996241986","343864.303084411","0","174458.518025834","210565.389385564","169526.378156377","144500.832761785","403052.245928563","166120.192672646","109009.827640242","154436.602785838","142743.815923342","483541.95627302","194248.562296722","159871.115481575","175863.039726582","446234.453056698","548775.819157982","359480.489590492","257712.195389208","186456.337048005","247887.847035187","322260.670815147","223352.246728467","552869.359720047","569692.703437565","586364.127061674","254906.192952097","207293.948529528","175717.721178847","623598.891041351","137390.951361777","500921.274237904","183792.389531078","0"
"3","2-heptanone","114.104465066","6.80021308362351","89.830955896669","551853.396044362","856319.767768813","0","270764.651221628","0","80689.8862057173","841634.363078112","641407.903161382","490167.783880514","100305.69206395","395243.477502814","0","0","101846.197912636","0","75053.3379544654","546156.376213289","77861.9390221084","127900.325892021","41001.6768967601","106218.116716828","777916.281048899","367923.849071618","112959.631351358","140206.50774694","0","198228.853120382","94675.0270553092","0","1140971.81678663","159502.997911284","314304.759990695","75193.6608442579","452867.263250469","60712.8813752648","530426.353276997","90695.1632326181","748887.939471793","376522.002975005","93318.3365354407","68701.3142627077","113775.975554117","111927.185135248","859449.568703685","58703.5388484668","335948.035238044","163820.393763767","1373179.18693899","0","105961.545100924","108737.00430741","108449.385435605","111923.88653659","81399.5477061469","672227.066303653","630357.627657341","0","109499.517642354","1013886.87067269","0"
"4","3-heptanone","114.104465066","6.80269373673933","98.0765190357171","232835.430418447","152504.188499749","141771.742684442","191274.912674917","176283.133114963","220608.028953662","210670.432820805","178885.696653974","180309.342705323","264187.327591763","228678.436512939","110896.428056435","247657.919668914","151563.918601877","221197.313608094","172401.726177018","215614.943145086","224390.08496674","283235.798566582","241676.225279789","199627.01276474","119816.512914522","298049.186725299","231194.854118961","291466.513608387","365006.184704651","238734.586188173","243617.104792934","235225.636451602","324010.413564994","258801.45421614","167455.085513865","267610.159184484","82551.6479097771","154093.064207644","222411.170103857","170277.025801238","219716.623461071","160202.212856805","277750.981280871","242311.774935871","308104.248246676","331683.534405934","179450.013371932","353107.150048978","326033.990936864","431281.901294675","202906.396113375","156721.724809169","320110.756659492","247010.60299257","272258.588948808","366028.69751891","244636.249764852","190033.958784117","295145.918717954","154207.32974105","235594.372618564","238574.485681612","0"
"5","n-heptanal","114.104465066","7.06377665737507","96.0508754409354","223560.307348188","112183.991239515","70454.4324471767","161480.725671946","262258.845553141","186130.5156712","165247.641295107","149535.973660197","178396.256845793","242852.071463889","204797.955255629","138318.722823345","171856.872546658","174711.335359701","179590.194797438","96587.1832349255","235792.065864694","191830.649355158","265191.491671848","209128.973956167","159028.140215888","102624.735415237","200591.069088431","305042.762695799","346811.454627985","395112.716144559","157604.99387225","212629.734126916","134089.964504971","307639.318934181","231231.794526366","100574.865287601","117040.399277393","110396.229256771","139628.687125664","206085.132844621","257527.165391186","212079.916523177","117279.303192573","132767.633701132","116345.913841596","269783.255132689","319629.274079663","138345.377798503","430004.041058756","174886.660661127","398298.360776171","146106.196670686","126234.866308505","252401.043778371","262097.847742387","261307.532807569","117210.575969917","191900.011046924","147059.402307928","282322.574945417","110892.083720885","217134.092879316","165572.668979689","0"
"6","n-octane","114.140850574","5.34185769335748","98.342560738176","1938796.87348664","1664183.06251591","1643846.6765233","1702209.42074132","1948849.67863603","1952515.00641259","1808285.09522271","2036523.08206494","1022290.04458521","2173672.14804063","1917848.89191603","1815593.53337053","1868603.05768362","1826817.79422387","1890675.94288953","2023313.62882342","1850744.02539555","1787967.48571958","2120707.42379733","2211336.36938948","1902910.02340082","1849127.77779874","2063259.73809532","1864862.82370666","1853189.91891716","2014005.33263277","2249355.40993633","1942287.78437056","2117880.01623381","1923192.09216679","1896366.77612428","1815697.18480536","1897291.02688926","2096111.29875678","1693697.93636192","2078206.17128452","1852290.11273001","2108484.35781974","1985842.59896559","2093424.48613171","1789421.76652966","2046736.07960272","2101428.45458497","2093548.29751277","2510619.03282535","1838618.96500835","2107597.27683091","1733021.03153786","1903259.50114824","1982371.43466713","1793939.7762493","2002355.03610615","2217528.63209795","2061305.1645016","1908774.24225261","1944670.80692046","1748730.76316765","1993742.30466932","2233533.04176519","0"
"7","Cumene","120.093900383","8.11051617485297","94.8551726185561","355883.683618402","670821.944543755","297617.293888706","320202.321626872","327364.665522927","944163.440263012","788926.745760683","741816.648359975","712013.30267747","898757.187408089","838021.554182264","588807.828203764","101053.388245318","651005.640875097","716106.280531283","328077.543779423","411691.040638153","368244.359112966","1094811.25762085","911998.42365544","910263.009608433","103074.786550359","1023650.26429617","92003.9074102059","859809.766053738","434337.996126493","944649.923162088","912871.297862333","903795.918352456","877389.997969514","967098.694145257","643727.122600782","911695.008930508","60364.4555868406","558010.010262936","941698.925295538","775571.239828325","233235.111485825","625720.395944792","595231.648292892","780980.808612227","433081.142007731","447203.407069496","542698.754518325","968849.114309803","957446.089429244","1239687.20575485","221342.338949222","580457.377542603","829662.794798027","394137.497549692","99749.8041672592","1181576.45137466","1047497.54652566","651165.854584398","106176.476777879","334222.335313562","299887.431880254","704536.986743589","1298.68797205671"
"8","naphthalene","128.062600255","11.8491708700975","97.5138159553472","152370.777945212","101509.786149359","111076.905453316","122560.461428199","130731.850085167","169966.227186333","127057.286101894","127544.987029147","135646.688056593","144184.015835201","107007.738302432","95605.6719940853","152937.780606199","227540.004976116","140401.916593983","110201.846359521","0","141896.414026674","170355.185467123","145090.894897867","0","66480.4386431119","245398.991916615","161106.61635545","185520.541889737","0","0","142338.316666858","151346.134823304","235739.052101621","0","109477.339200166","157325.857678242","29348.6095455332","97817.862726422","0","0","118327.686834536","106168.914941046","156223.727957488","131406.833503182","159858.065368245","171401.876234457","95340.9864215815","281546.567082768","157362.261221902","312345.016704214","110840.663078763","110388.231894675","193729.949588024","158482.032186545","178074.445180786","281698.677688384","150505.888528615","112834.19614695","198876.54793054","131177.793577627","157242.359745385","168880.510705982","0"
"9","n-octanal","128.120115130","8.82457889003802","96.0272518399588","199104.157637766","131154.059272758","186048.727298985","141599.909544909","310656.269727158","219927.82813005","165611.026299754","126724.692054713","162341.761303629","177551.106927147","146325.438209571","161436.895606532","170871.180290208","181234.692082472","127975.988453204","0","216125.96954473","173318.809417869","208862.066542915","156765.131210836","180256.043011153","121671.707500809","221168.129281792","261008.985467318","402609.6909372","322921.854089828","171095.285150955","184433.470647496","128093.323198221","237412.632115223","200214.320363323","0","230882.796610725","120017.674145501","151537.902284822","153636.029294042","441624.373565716","174813.214374739","0","110436.795142887","138897.380701472","239273.875648378","218736.164492835","0","300936.301330195","193919.166042813","295099.08298927","0","0","213990.597712769","217954.285245012","233738.592219409","158741.969142506","158291.154511214","147446.837325816","256053.545963833","103331.425377956","203563.332682415","0","0"
"10","p-cymene","134.109550447","10.3692929751436","99.3464817334433","8310155.48599702","7408380.4008886","6492974.53238465","7123546.19942175","8845904.40508625","9096327.88674919","9032912.60901514","1998216.14915181","8044384.27546704","10498944.7226082","12439527.9636862","6558675.06075411","10272440.4343748","7679443.6919804","6808082.11772787","8374661.61516666","5564549.61455165","77548.7625239858","4327770.66588947","5965640.86917815","60680.6765986698","3626783.9129018","279157.191996642","11557271.7414261","3551157.47973084","8818602.95393272","9564108.49939653","12373361.428694","5763690.28345431","15033638.8296704","9642329.18633046","7572772.04812938","9972743.28041445","807533.807783075","6922412.6879308","8471252.90004017","7669400.74953485","6185821.32817232","10312848.7916923","270137.465543559","2646781.99458513","6980701.79345145","8242737.60480285","6139506.05473111","11978329.9723694","7171391.38988755","13975049.0624705","7576807.47848553","6594473.91512811","15266185.9671286","9737898.34840636","12298548.7329716","16007531.2370656","9120995.8228273","7021276.09232455","10926369.1317108","11224849.6882158","8066498.89608084","8927408.18002374","0"
